epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,358.317,1.10949,0.5508,1.10202,0.99819,1,0.995,0.55626,1.47162,0.52109,1.22981,0.0011486,0.0011486,0.0011486
45,365.654,1.0874,0.53287,1.09707,0.99835,1,0.995,0.62394,1.23108,0.46323,1.10282,0.0011288,0.0011288,0.0011288
46,372.945,1.08208,0.5212,1.08826,0.99316,1,0.995,0.64284,1.27682,0.49502,1.11856,0.001109,0.001109,0.001109
47,382.046,1.04453,0.50644,1.08275,0.99435,1,0.995,0.75797,0.85161,0.40444,0.97961,0.0010892,0.0010892,0.0010892
48,388.492,1.06755,0.51409,1.0868,0.99845,1,0.995,0.6213,1.21612,0.44433,1.10384,0.0010694,0.0010694,0.0010694
49,397.155,1.02942,0.5162,1.08686,0.99781,1,0.995,0.69307,1.08172,0.41848,1.05355,0.0010496,0.0010496,0.0010496
50,405.831,1.04124,0.50149,1.07689,0.9982,1,0.995,0.67598,1.14196,0.44473,1.05889,0.0010298,0.0010298,0.0010298
51,413.739,1.02227,0.4986,1.05867,0.99729,1,0.995,0.69253,1.09706,0.45033,1.06322,0.00101,0.00101,0.00101
52,419.943,1.05123,0.51045,1.08943,0.9976,1,0.995,0.67435,1.09556,0.42004,1.06766,0.0009902,0.0009902,0.0009902
53,428.142,1.02734,0.5027,1.0654,0.99815,1,0.995,0.54794,1.56136,0.5216,1.30737,0.0009704,0.0009704,0.0009704
54,434.322,1.01754,0.4812,1.06068,0.99877,1,0.995,0.63374,1.24386,0.43292,1.12291,0.0009506,0.0009506,0.0009506
55,442.175,1.01278,0.49394,1.06505,0.99886,1,0.995,0.61056,1.33688,0.46063,1.16217,0.0009308,0.0009308,0.0009308
56,449.336,1.02489,0.47881,1.07362,0.98255,1,0.995,0.65057,1.16343,0.45356,1.09157,0.000911,0.000911,0.000911
57,457.584,1.00682,0.48626,1.05548,0.99785,1,0.995,0.6687,1.07372,0.43221,1.04366,0.0008912,0.0008912,0.0008912
58,465.844,0.97325,0.47333,1.04361,0.9987,1,0.995,0.64846,1.19994,0.43992,1.09486,0.0008714,0.0008714,0.0008714
59,474.878,0.99196,0.49993,1.06347,0.98998,1,0.995,0.66693,1.06391,0.44851,1.04718,0.0008516,0.0008516,0.0008516
60,481.887,0.9587,0.47144,1.03743,0.99562,1,0.995,0.67258,1.1043,0.43999,1.06401,0.0008318,0.0008318,0.0008318
61,489.954,0.94995,0.45693,1.04982,0.99608,1,0.995,0.66224,1.08989,0.42376,1.06528,0.000812,0.000812,0.000812
62,496.341,0.96676,0.4682,1.06478,0.99337,1,0.995,0.72456,0.99175,0.40877,1.02496,0.0007922,0.0007922,0.0007922
63,505.677,0.94233,0.45544,1.03021,0.99717,1,0.995,0.72604,0.96058,0.41099,1.02101,0.0007724,0.0007724,0.0007724
64,511.95,0.96852,0.4615,1.05253,0.99864,1,0.995,0.65365,1.20959,0.44959,1.12834,0.0007526,0.0007526,0.0007526
65,521.541,0.95148,0.45993,1.035,0.99772,1,0.995,0.71138,1.00954,0.41761,1.03484,0.0007328,0.0007328,0.0007328
66,527.696,0.93645,0.44335,1.03594,0.99848,1,0.995,0.69049,1.13834,0.43336,1.09779,0.000713,0.000713,0.000713
67,536.458,0.91454,0.44262,1.04394,0.99815,1,0.995,0.64993,1.18851,0.43824,1.12153,0.0006932,0.0006932,0.0006932
